id,title,publication_link,date,RCIH_authors,authors,all_authors
14,Effects of school-based interventions on Food and Nutrition Literacy (FNLIT) in primary-school-age children: a systematic review,https://pureportal.coventry.ac.uk/en/publications/effects-of-school-based-interventions-on-food-and-nutrition-liter,28 Jun 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Nasrin, O.', 'link': None}, {'name': 'Doustmohammadian, A.', 'link': None}, {'name': 'Elham, S.', 'link': None}, {'name': 'Kasaii, M. S.', 'link': None}, {'name': 'Saryazdi, M. H.', 'link': None}]","Clark, C. C. T., Nasrin, O., Doustmohammadian, A., Elham, S., Kasaii, M. S., Saryazdi, M. H."
15,Efficacy assessment of superficial temporal artery-middle cerebral artery bypass surgery in treating moyamoya disease from a hemodynamic perspective: a pilot study using computational modeling and perfusion imaging,https://pureportal.coventry.ac.uk/en/publications/efficacyassessment-of-superficial-temporal-artery-middle-cerebral,Mar 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Wang, X.', 'link': None}, {'name': 'Xu, M.', 'link': None}, {'name': 'Chen, C.', 'link': None}, {'name': 'Ma, L.', 'link': None}, {'name': 'Dai, F.', 'link': None}]","Liu, H., Wang, X., Xu, M., Chen, C., Ma, L., Dai, F."
16,Enhancing System Performance through Objective Feature Scoring of Multiple Persons’ Breathing Using Non-Contact RF Approach,https://pureportal.coventry.ac.uk/en/publications/enhancing-system-performance-through-objective-feature-scoring-of,Feb 2023,"[{'name': 'Shah, S. A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah'}]","[{'name': 'Rehman, M.', 'link': None}, {'name': 'Shah, R. A.', 'link': None}, {'name': 'Ali, N. A. A.', 'link': None}, {'name': 'Khan, M. B.', 'link': None}, {'name': 'Alomainy, A.', 'link': None}, {'name': 'Hayajneh, M.', 'link': None}, {'name': 'Yang, X.', 'link': None}, {'name': 'Imran, M. A.', 'link': None}, {'name': 'Abbasi, Q. H.', 'link': None}]","Shah, S. A., Rehman, M., Shah, R. A., Ali, N. A. A., Khan, M. B., Alomainy, A., Hayajneh, M., Yang, X., Imran, M. A., Abbasi, Q. H."
17,Evaluating the effect of digital game‐based nutrition education on anemia indicators in adolescent girls: A randomized clinical trial,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-effect-of-digital-gamebased-nutrition-education-on,Feb 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Ghadam, O. S.', 'link': None}, {'name': 'Sohrabi, Z.', 'link': None}, {'name': 'Mehrabi, M.', 'link': None}, {'name': 'Fararouei, M.', 'link': None}, {'name': 'Shahraki, M.', 'link': None}, {'name': 'Hejazi, N.', 'link': None}, {'name': 'Mehrabani, S.', 'link': None}, {'name': 'Gerami, S.', 'link': None}, {'name': 'Nouri, M.', 'link': None}]","Clark, C. C. T., Ghadam, O. S., Sohrabi, Z., Mehrabi, M., Fararouei, M., Shahraki, M., Hejazi, N., Mehrabani, S., Gerami, S., Nouri, M."
18,Exploring the extent of mental health practice: Content and cluster analysis of techniques used in HIV Testing and Counselling sessions in Uganda,https://pureportal.coventry.ac.uk/en/publications/exploring-the-extent-of-mental-health-practice-content-and-cluste,1 Feb 2023,"[{'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Martin, F.', 'link': None}, {'name': 'Clowes, E.', 'link': None}, {'name': 'Nalukenge, W.', 'link': None}, {'name': 'Lazarus, O.', 'link': None}, {'name': 'Birungi, J.', 'link': None}, {'name': 'Seeley, J.', 'link': None}]","Clark, C., Martin, F., Clowes, E., Nalukenge, W., Lazarus, O., Birungi, J., Seeley, J."
19,Female infertility caused by organophosphates: an insight into the latest biochemical and histomorphological findings,https://pureportal.coventry.ac.uk/en/publications/female-infertility-caused-by-organophosphates-an-insight-into-the,2 Jan 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Samare-Najaf, M.', 'link': None}, {'name': 'Samareh, A.', 'link': None}, {'name': 'Namavar Jahromi, B.', 'link': None}, {'name': 'Jamali, N.', 'link': None}, {'name': 'Vakili, S.', 'link': None}, {'name': 'Mohsenizadeh, M.', 'link': None}, {'name': 'Abbasi, A.', 'link': None}, {'name': 'Khajehyar, N.', 'link': None}]","Clark, C. C. T., Samare-Najaf, M., Samareh, A., Namavar Jahromi, B., Jamali, N., Vakili, S., Mohsenizadeh, M., Abbasi, A., Khajehyar, N."
20,"Folic acid supplementation and blood pressure: a GRADE-assessed systematic review and dose-response meta-analysis of 41,633 participants",https://pureportal.coventry.ac.uk/en/publications/folic-acid-supplementation-and-blood-pressure-a-grade-assessed-sy,19 May 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Asbaghi, O.', 'link': None}, {'name': 'Salehpour, S.', 'link': None}, {'name': 'Rezaei Kelishadi, M.', 'link': None}, {'name': 'Bagheri, R.', 'link': None}, {'name': 'Ashtary-Larky, D.', 'link': None}, {'name': 'Nazarian, B.', 'link': None}, {'name': 'Mombaini, D.', 'link': None}, {'name': 'Ghanavati, M.', 'link': None}, {'name': 'Wong, A.', 'link': None}, {'name': 'Naeini, A. A.', 'link': None}]","Clark, C. C. T., Asbaghi, O., Salehpour, S., Rezaei Kelishadi, M., Bagheri, R., Ashtary-Larky, D., Nazarian, B., Mombaini, D., Ghanavati, M., Wong, A., Naeini, A. A."
21,High intake of dietary phytochemical index may be related to reducing risk of diabetic nephropathy: a case–control study,https://pureportal.coventry.ac.uk/en/publications/high-intake-of-dietary-phytochemical-index-may-be-related-to-redu,Dec 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Bahrampour, N.', 'link': None}, {'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Hosseininasab, D.', 'link': None}, {'name': 'Abaj, F.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Bahrampour, N., Mirzababaei, A., Hosseininasab, D., Abaj, F., Mirzaei, K."
22,"Is camouflaging autistic traits associated with defeat, entrapment and suicidal thoughts? Expanding the Integrated Motivational-Volitional Model of Suicide",https://pureportal.coventry.ac.uk/en/publications/is-camouflaging-autistic-traits-associated-with-defeat-entrapment,2 May 2023,"[{'name': 'Pelton, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/mirabel-pelton'}]","[{'name': 'Cassidy, S.', 'link': None}, {'name': 'McLaughlin, E.', 'link': None}, {'name': 'McGranaghan, R.', 'link': None}, {'name': ""O'Connor, R."", 'link': None}, {'name': 'Rodgers, J.', 'link': None}]","Pelton, M., Cassidy, S., McLaughlin, E., McGranaghan, R., O'Connor, R., Rodgers, J."
23,"""Is it time to throw out the weighing scales?"" Implicit weight bias among healthcare professionals working in bariatric surgery services and their attitude towards non-weight focused approaches",https://pureportal.coventry.ac.uk/en/publications/is-it-time-to-throw-out-the-weighing-scales-implicit-weight-bias-,Jan 2023,"[{'name': 'Abbott, S.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sally-abbott'}]","[{'name': 'Shuttlewood, E.', 'link': None}, {'name': 'Flint, S. W.', 'link': None}, {'name': 'Chesworth, P.', 'link': None}, {'name': 'Parretti, H. M.', 'link': None}]","Abbott, S., Shuttlewood, E., Flint, S. W., Chesworth, P., Parretti, H. M."
24,Leadless pacemaker implantation and azygos continuation in the inferior vena cava: a case description,https://pureportal.coventry.ac.uk/en/publications/leadless-pacemaker-implantation-and-azygos-continuation-in-the-in,1 Apr 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Wang, X.', 'link': None}, {'name': 'Ding, X.', 'link': None}, {'name': 'Xu, M.', 'link': None}, {'name': 'Chen, C.', 'link': None}, {'name': 'Ma, L.', 'link': None}, {'name': 'Wang, R.', 'link': None}, {'name': 'Chen, R.', 'link': None}]","Liu, H., Wang, X., Ding, X., Xu, M., Chen, C., Ma, L., Wang, R., Chen, R."
25,Listening to music during a repeated sprint test improves performance and psychophysiological responses in healthy and physically active male adults,https://pureportal.coventry.ac.uk/en/publications/listening-to-music-during-a-repeated-sprint-test-improves-perform,21 Feb 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Jebabli, N.', 'link': None}, {'name': 'Ben Aabderrahman, A.', 'link': None}, {'name': 'Boullosa, D.', 'link': None}, {'name': 'Chtourou, H.', 'link': None}, {'name': 'Ouerghi, N.', 'link': None}, {'name': 'Rhibi, F.', 'link': None}, {'name': 'Govindasamy, K.', 'link': None}, {'name': 'Saeidi, A.', 'link': None}, {'name': 'Granacher, U.', 'link': None}, {'name': 'Zouhal, H.', 'link': None}]","Clark, C. C. T., Jebabli, N., Ben Aabderrahman, A., Boullosa, D., Chtourou, H., Ouerghi, N., Rhibi, F., Govindasamy, K., Saeidi, A., Granacher, U., Zouhal, H."
26,Mediators of dietary diversity score (DDS) on NAFLD in Iranian adults: a structural equation modeling study,https://pureportal.coventry.ac.uk/en/publications/mediators-of-dietary-diversity-score-dds-on-nafld-in-iranian-adul,Mar 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Doustmohammadian, A.', 'link': None}, {'name': 'Amirkalali, B.', 'link': None}, {'name': 'Gholizadeh, E.', 'link': None}, {'name': 'Khoonsari, M.', 'link': None}, {'name': 'Faraji, A. H.', 'link': None}, {'name': 'Nikkhah, M.', 'link': None}, {'name': 'Maadi, M.', 'link': None}, {'name': 'Motamed, N.', 'link': None}, {'name': 'Mansourian, M. R.', 'link': None}, {'name': 'Hajjar, M.', 'link': None}, {'name': 'Chaibakhsh, S.', 'link': None}, {'name': 'Tameshkel, F. S.', 'link': None}, {'name': 'Afzali, A.', 'link': None}, {'name': 'Zamani, F.', 'link': None}]","Clark, C. C. T., Doustmohammadian, A., Amirkalali, B., Gholizadeh, E., Khoonsari, M., Faraji, A. H., Nikkhah, M., Maadi, M., Motamed, N., Mansourian, M. R., Hajjar, M., Chaibakhsh, S., Tameshkel, F. S., Afzali, A., Zamani, F."
27,Mobile and wearable systems for health monitoring,https://pureportal.coventry.ac.uk/en/publications/mobile-and-wearable-systems-for-health-monitoring,20 Apr 2023,"[{'name': 'Zheng, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}]","[{'name': 'Elgendi, M.', 'link': None}, {'name': 'Fletcher, R. R.', 'link': None}, {'name': 'Abbott, D.', 'link': None}, {'name': 'Kyriacou, P.', 'link': None}, {'name': 'Menon, C.', 'link': None}]","Zheng, D., Elgendi, M., Fletcher, R. R., Abbott, D., Kyriacou, P., Menon, C."
28,Needs of parents and carers of children and young people with mental health difficulties:  protocol for a systematic review,https://pureportal.coventry.ac.uk/en/publications/needs-of-parents-and-carers-of-children-and-young-people-with-men,16 Feb 2023,"[{'name': 'Dahmash, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dania-dahmash'}, {'name': 'Turner, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/andy-turner'}]","[{'name': 'Martin, F.', 'link': None}, {'name': 'Glover, S.', 'link': None}, {'name': 'Duncan, C.', 'link': None}, {'name': 'Halligan, S. L.', 'link': None}]","Dahmash, D., Turner, A., Martin, F., Glover, S., Duncan, C., Halligan, S. L."
29,Oral vitamin D supplementation and body weight in children and adolescents: a systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/publications/oral-vitamin-d-supplementation-and-body-weight-in-children-and-ad,May 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Soltani, S.', 'link': None}, {'name': 'Beigrezaei, S.', 'link': None}, {'name': 'Abdollahi, S.', 'link': None}, {'name': 'Ashoori, M.', 'link': None}]","Clark, C. C. T., Soltani, S., Beigrezaei, S., Abdollahi, S., Ashoori, M."
30,Perceived Support from Best Friends and Depressive Symptoms During Adolescence: Disentangling Personal from Dyadic Level Effects:  Disentangling Individual from Dyadic Level Effects,https://pureportal.coventry.ac.uk/en/publications/perceived-support-from-best-friends-and-depressive-symptoms-durin,Apr 2023,"[{'name': 'Bul, K.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/kim-bul'}]","[{'name': 'van der Mey-Baijens, S.', 'link': None}, {'name': 'Buil, M.', 'link': None}, {'name': 'Vuijk, P.', 'link': None}, {'name': 'Branje, S.', 'link': None}, {'name': 'Meeus, W.', 'link': None}, {'name': 'van Lier, P.', 'link': None}]","Bul, K., van der Mey-Baijens, S., Buil, M., Vuijk, P., Branje, S., Meeus, W., van Lier, P."
31,Physical activity and asthma symptom control in children during COVID-19 lockdown: A feasibility study,https://pureportal.coventry.ac.uk/en/publications/physical-activity-and-asthma-symptom-control-in-children-during-c,20 Feb 2023,"[{'name': 'Whelan, M. E.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maxine-whelan'}]","[{'name': 'Ding, X.', 'link': None}, {'name': 'Clifton, D. A.', 'link': None}, {'name': 'Zhu, T.', 'link': None}]","Whelan, M. E., Ding, X., Clifton, D. A., Zhu, T."
32,Predictive Value of CT Perfusion in Hemorrhagic Transformation after Acute Ischemic Stroke: A Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/publications/predictive-value-of-ct-perfusion-in-hemorrhagic-transformation-af,16 Jan 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Xu, J.', 'link': None}, {'name': 'Dai, F.', 'link': None}, {'name': 'Wang, B.', 'link': None}, {'name': 'Wang, Y.', 'link': None}, {'name': 'Li, J.', 'link': None}, {'name': 'He, S.', 'link': None}]","Liu, H., Xu, J., Dai, F., Wang, B., Wang, Y., Li, J., He, S."
33,Preferences for Digital Intervention in People with Schizophrenia,https://pureportal.coventry.ac.uk/en/publications/preferences-for-digital-intervention-in-people-with-schizophrenia,2023,"[{'name': 'Sari, S. P.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sri-padma-sari'}, {'name': 'Lycett, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/deborah-lycett'}, {'name': 'Turner, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/andy-turner'}]","[{'name': 'Martin, F.', 'link': None}]","Sari, S. P., Lycett, D., Turner, A., Martin, F."
34,PresSafe: Barometer-based On-screen Pressure Assisted Implicit Authentication for Smartphones,https://pureportal.coventry.ac.uk/en/publications/pressafe-barometer-based-on-screen-pressure-assisted-implicit-aut,1 Jan 2023,"[{'name': 'Wang, J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang'}]","[{'name': 'Yao, M.', 'link': None}, {'name': 'Tao, D.', 'link': None}, {'name': 'Gao, R.', 'link': None}, {'name': 'Helal, S.', 'link': None}, {'name': 'Mao, S.', 'link': None}]","Wang, J., Yao, M., Tao, D., Gao, R., Helal, S., Mao, S."
35,Profiling the Biomechanical Responses to Workload on the Human Myocyte to Explore the Concept of Myocardial Fatigue and Reversibility: Rationale and Design of the POWER Heart Failure Study,https://pureportal.coventry.ac.uk/en/publications/profiling-the-biomechanical-responses-to-workload-on-the-human-my,1 May 2023,"[{'name': 'Tran, P.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/patrick-tran'}, {'name': 'Linekar, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/adam-michael-linekar'}, {'name': 'Shelley, S.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sharn-shelley'}, {'name': 'Maddock, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/helen-maddock'}]","[{'name': 'Dandekar, U.', 'link': None}, {'name': 'Barker, T.', 'link': None}, {'name': 'Balasubramanian, S.', 'link': None}, {'name': 'Bhaskara-Pillai, J.', 'link': None}, {'name': 'Banerjee, P.', 'link': None}]","Tran, P., Linekar, A., Shelley, S., Maddock, H., Dandekar, U., Barker, T., Balasubramanian, S., Bhaskara-Pillai, J., Banerjee, P."
